title,description,colors,images,size,price,bestSelling,category_id
Love you to the moon and back,"A cute hand embroidered cushion cover with ""I love you to th moon and back"" love phrase, a perfect gift for your lovers.","balck, white",loveyoutothemoonandback1.JPG,15/15,139,false,678fc5fa4ee1959d1266fa91
Minimalist,"A cushion cover featuring a minimalist, one line embroidery in deep blue thread. The clean and modern style adds a touch of sophistication and elegance to any space. This cushion cover is perfect for those who appriciate simplicity and contemporary design, make it and ideal decor piece for odern homes.","blue,black,red","Minimalist1.PNG,Minimalist2.PNG,Minimalist3.PNG",40/40,139,true,678fc5fa4ee1959d1266fa91
The beginning,"Hand embroidered hoop, perfect for celebrating a wedding or special occasion. Bright design for showcase the commitment with two interlocked rings, and the memorable day with the day of the engagment. It's an ideal keepsake for wedding anniversery, or engagment celebration.",white,"thebeginning1.JPG,thebeginning2.JPG,thebeginning2.JPG",35/35,159,true,64f09244d5d8402c038eb6ce
Laurence Sterne Quote Embroidery,"This embroidery hoop art features a thoughtful quote by Laurence Sterne in blue thread, reflecting on the flow of life and human emotions. The simple, elegant design on natural fabric adds a poetic touch to any space, perfect for lovers of literature and minimalist decor.","blue,black,red","laurencesternequoteembroidery1.JPG,laurencesternequoteembroidery2.JPG",25/25,149,false,64f09244d5d8402c038eb6ce
Gamer's paradise,A custom embroidered hoop celebrating the world of video games. Personalize it with a name and date for a truly unique gift.,,"gamer'sparadise1.JPG,gamer'sparadise2.JPG,gamer'sparadise3.JPG,gamer'sparadise4.JPGgamer'sparadise5.JPG,gamer'sparadise6.JPG",25/25,179,false,64f09244d5d8402c038eb6ce
Whale Pouch,"This charming little pouch features a delicately embroidered whale, adding a touch of nautical charm to your everyday essentials. Perfect for holding coins, jewelry, or other small treasures.","blue,deep blue,black",whalepouch.JPG,10/6,25,false,678fc5ea4ee1959d1266fa90
Tropical touch,"This simple yet stylish pouch features a delicate embroidered monstera leaf, bringing a touch of nature to your everyday carry. Perfect for keeping your small essentials organized","black,oil green",tropicaltouch.JPG,10/6,25,false,678fc5ea4ee1959d1266fa90
Preety in pink,"This charming pouch features a delicately embroidered flamingo, adding a touch of whimsical elegance to your everyday essentials. Perfect for keeping your small treasures safe and stylish.","soft pink,pink ",preetyinpink.JPG,10/6,25,false,678fc5ea4ee1959d1266fa90
Ocean vibes,"This adorable pouch features a playfully embroidered dolphin, bringing a touch of the ocean to your everyday essentials. Perfect for keeping your small treasures safe and organized.","gray,black,dark gray",oceanvibes.JPG,10/6,25,false,678fc5ea4ee1959d1266fa90
Tulip pouch,"This elegant pouch features a delicately embroidered tulip, adding a touch of natural beauty to your everyday essentials. Perfect for keeping your small treasures safe and stylish","white,pink,red",tulippouch1.JPG,10/6,25,true,678fc5ea4ee1959d1266fa90
Winnie the Pooh Everyday Tote,"This adorable Winnie the Pooh tote is perfect for carrying books, groceries, or anything else you need throughout the day. The embroidered design and heartwarming quote add a touch of personality to this practical and stylish bag.",white,"winniethepoohevreydaytote1.JPG,winniethepoohevreydaytote2.JPG,winniethepoohevreydaytote3.JPG,winniethepoohevreydaytote4.JPG,winniethepoohevreydaytote5.JPG",35/39,189,true,64f08c622e14c805f424645c
Keep Calm and Love Pandas Tote,"Show your love for these adorable creatures with this charming tote bag. Featuring a sweet embroidered panda and the popular phrase 'Keep Calm and Love Pandas,' this bag is perfect for any panda enthusiast.",white,"keepcalmandlovepandstote1.JPG,keepcalmandlovepandstote2.JPG,keepcalmandlovepandstote3.JPG,keepcalmandlovepandstote4.JPG",35/39,199,true,64f08c622e14c805f424645c
Passion Blooms Tote,"This vibrant tote bag features a beautiful arrangement of embroidered tulips in various colors, paired with the inspiring word 'Passion.' A perfect way to express your love for flowers and your zest for life.",white,"passionbloomstote1.JPG,passionbloomstote2.JPG,passionbloomstote3.JPG",35/39,199,true,64f08c622e14c805f424645c
Sunflower Tote,"Carry a touch of sunshine with you wherever you go with this charming, handmade tote bag. Featuring a delightful field of embroidered sunflowers, this bag is perfect for adding a cheerful touch to your everyday style. Lovingly crafted by hand, this tote is as unique as it is practical.",white,"sunflowertote1.JPG,sunflowertote2.JPG,sunflowertote3.JPG,sunflowertote4.JPG",35/39,219,true,64f08c622e14c805f424645c
Easy Like Sunday Morning Tote,"Embrace those relaxed weekend vibes with this comfortable and stylish tote bag. Featuring the soothing phrase 'Easy Like Sunday Morning,' this bag is perfect for carrying your essentials while channeling those smooth Sunday morning vibes.","black,white","easylikesundaymorning1.JPG,easylikesundaymorning2.JPG",35/39,170,true,64f08c622e14c805f424645c
Totoro Tote,"Bring a touch of Studio Ghibli magic to your everyday with this charming tote bag. The detailed embroidery captures the charm and whimsy of this classic animation, this bag is perfect for fans of the beloved film My Neighbor Totoro.",white,"totorotote1.JPG,totorotote2.JPG,totorotote3.JPG",35/39,129,true,64f08c622e14c805f424645c
Memorable start,"Looking for a unique and meaningful gift? This personalized embroidered hoop is a perfect way to commemorate a special moment in time. The custom monogram and date, combined with the delicate embroidery, create a treasured keepsake that will be cherished for years to come.",,"memorablestart1.JPG,memorablestart2.JPG,memorablestart3.JPG,memorablestart4.JPG,memorablestart5.JPG",25/25,159,false,64f09244d5d8402c038eb6ce
Bloom As It Is,"This natural-colored canvas tote bag features a charming, hand-embroidered small bouquet of fresh flowers. The delicate stitching beautifully captures the essence of its title: ""Bloom As It Is.""",white,bloomasitis.JPG,35/39,129,false,64f08c622e14c805f424645c
